GeneSymbol,PhenotypeList,MIM_Number
KCNQ2,"Seizures, benign familial neonatal, 1|Seizures, benign familial neonatal, 2|not provided|Developmental and epileptic encephalopathy, 7",602235
KCNQ2,"Developmental and epileptic encephalopathy, 7|Seizures, benign familial neonatal, 2|Developmental and epileptic encephalopathy|not provided",602235
KCNQ2,"Seizures, benign familial neonatal, 1|not provided|Developmental and epileptic encephalopathy, 7|Developmental and epileptic encephalopathy|Seizure",602235
KCNQ2,"Seizures, benign familial neonatal, 1, and/or myokymia|not provided|Developmental and epileptic encephalopathy, 7|Seizures, benign familial neonatal, 1;Developmental and epileptic encephalopathy, 7|Developmental and epileptic encephalopathy|KCNQ2-related disorder|Complex neurodevelopmental disorder",602235
KCNQ3,"Seizures, benign familial neonatal, 2",602232
SCN8A,Cognitive impairment with or without cerebellar ataxia|not provided,600702
PCDH19,"Developmental and epileptic encephalopathy, 9",300460
ARX,"Developmental and epileptic encephalopathy, 1|X-linked lissencephaly with abnormal genitalia|not provided|Developmental and epileptic encephalopathy, 1;Intellectual disability, X-linked, with or without seizures, ARX-related|Inborn genetic diseases|Intellectual disability, X-linked, with or without seizures, ARX-related|West syndrome|Developmental and epileptic encephalopathy, 1;X-linked lissencephaly with abnormal genitalia;Corpus callosum agenesis-abnormal genitalia syndrome;Intellectual disability, X-linked, with or without seizures, ARX-related;Partington syndrome",300382
ARX,"Developmental and epileptic encephalopathy, 1|Partington syndrome|not provided|Developmental and epileptic encephalopathy, 1;Intellectual disability, X-linked, with or without seizures, ARX-related|Intellectual disability, X-linked, with or without seizures, ARX-related",300382
ARX,"Developmental and epileptic encephalopathy, 1|Inborn genetic diseases|Developmental and epileptic encephalopathy, 1;X-linked lissencephaly with abnormal genitalia;Corpus callosum agenesis-abnormal genitalia syndrome;Intellectual disability, X-linked, with or without seizures, ARX-related;Partington syndrome",300382
ARX,"Developmental and epileptic encephalopathy, 1",300382
ARX,X-linked lissencephaly with abnormal genitalia,300382
ARX,"X-linked lissencephaly with abnormal genitalia|not provided|Developmental and epileptic encephalopathy, 1;Intellectual disability, X-linked, with or without seizures, ARX-related|Corpus callosum agenesis-abnormal genitalia syndrome",300382
ARX,"X-linked lissencephaly with abnormal genitalia|Developmental and epileptic encephalopathy, 1;Intellectual disability, X-linked, with or without seizures, ARX-related|Intellectual disability, X-linked, with or without seizures, ARX-related",300382
ARX,"Intellectual disability, X-linked, with or without seizures, ARX-related",300382
ARX,"Intellectual disability, X-linked, with or without seizures, ARX-related|not provided|Intellectual disability, X-linked, with or without seizures, ARX-related;Developmental and epileptic encephalopathy, 1|not specified|Inborn genetic diseases",300382
ARX,Corpus callosum agenesis-abnormal genitalia syndrome|not provided,300382
ARX,Hydranencephaly with abnormal genitalia,300382
ARX,"Developmental and epileptic encephalopathy, 1|Intellectual disability, X-linked, with or without seizures, ARX-related;Developmental and epileptic encephalopathy, 1",300382
CDKL5,"Atypical Rett syndrome|Developmental and epileptic encephalopathy, 2|CDKL5 disorder",300203
CDKL5,"Developmental and epileptic encephalopathy, 2|Atypical Rett syndrome|Developmental and epileptic encephalopathy, 2;Angelman syndrome-like|CDKL5 disorder",300203
CDKL5,"Atypical Rett syndrome|Developmental and epileptic encephalopathy, 2|Developmental and epileptic encephalopathy, 2;Angelman syndrome-like|CDKL5 disorder|not provided",300203
CDKL5,"Developmental and epileptic encephalopathy, 2|not provided|Rett syndrome|CDKL5 disorder|Angelman syndrome-like;Developmental and epileptic encephalopathy, 2|Seizure",300203
CDKL5,"Developmental and epileptic encephalopathy, 2|CDKL5 disorder|not provided",300203
CDKL5,"Developmental and epileptic encephalopathy, 2|Developmental and epileptic encephalopathy, 2;Angelman syndrome-like|CDKL5 disorder",300203
MECP2,"Rett syndrome, zappella variant|not provided|Rett syndrome|not specified|Angelman syndrome|X-linked intellectual disability-psychosis-macroorchidism syndrome|Inborn genetic diseases|Severe neonatal-onset encephalopathy with microcephaly|Neurodevelopmental delay|Intellectual disability|Syndromic X-linked intellectual disability Lubs type|MECP2-related disorder",300005
MECP2,Rett syndrome,300005
MECP2,"Rett syndrome|not provided|Angelman syndrome|Severe neonatal-onset encephalopathy with microcephaly|Autism, susceptibility to, X-linked 3|Inborn genetic diseases|X-linked intellectual disability-psychosis-macroorchidism syndrome;Severe neonatal-onset encephalopathy with microcephaly;Rett syndrome;Autism, susceptibility to, X-linked 3;Syndromic X-linked intellectual disability Lubs type|Abnormality of the nervous system|X-linked intellectual disability-psychosis-macroorchidism syndrome|Neurodevelopmental delay|Syndromic X-linked intellectual disability Lubs type|MECP2-related disorder",300005
MECP2,"Rett syndrome|Severe neonatal-onset encephalopathy with microcephaly|not provided|not specified|Autism, susceptibility to, X-linked 3|Autism, susceptibility to, X-linked 3;X-linked intellectual disability-psychosis-macroorchidism syndrome;Rett syndrome;Syndromic X-linked intellectual disability Lubs type;Severe neonatal-onset encephalopathy with microcephaly|X-linked intellectual disability-psychosis-macroorchidism syndrome|Inborn genetic diseases|See cases|MECP2-related disorder",300005
MECP2,"Rett syndrome|not provided|Severe neonatal-onset encephalopathy with microcephaly|Encephalopathy, neonatal severeMental retardation, X-linked, syndromic 13Rett syndrome|X-linked intellectual disability-psychosis-macroorchidism syndrome;Severe neonatal-onset encephalopathy with microcephaly;Rett syndrome;Autism, susceptibility to, X-linked 3;Syndromic X-linked intellectual disability Lubs type|Inborn genetic diseases|Syndromic X-linked intellectual disability Lubs type|Autism, susceptibility to, X-linked 3|MECP2-related disorder",300005
MECP2,X-linked intellectual disability-psychosis-macroorchidism syndrome|Rett syndrome,300005
MECP2,Rett syndrome|Angelman syndrome,300005
MECP2,"Rett syndrome|Autism, susceptibility to, X-linked 3|not provided|Severe neonatal-onset encephalopathy with microcephaly|X-linked intellectual disability-psychosis-macroorchidism syndrome;Severe neonatal-onset encephalopathy with microcephaly;Rett syndrome;Autism, susceptibility to, X-linked 3;Syndromic X-linked intellectual disability Lubs type|Inborn genetic diseases|See cases|MECP2-related disorder|Syndromic X-linked intellectual disability Lubs type",300005
MECP2,"X-linked intellectual disability-psychosis-macroorchidism syndrome|Rett syndrome|8 conditions|Severe neonatal-onset encephalopathy with microcephaly|not provided|Autism, susceptibility to, X-linked 3|X-linked intellectual disability-psychosis-macroorchidism syndrome;Severe neonatal-onset encephalopathy with microcephaly;Autism, susceptibility to, X-linked 3;Rett syndrome;Syndromic X-linked intellectual disability Lubs type|Atypical behavior|Intellectual disability|Neurodevelopmental disorder|MECP2-related disorder|Inborn genetic diseases|X-linked intellectual disability-psychosis-macroorchidism syndrome;Rett syndrome|Syndromic X-linked intellectual disability Lubs type",300005
MECP2,"Rett syndrome|not provided|Angelman syndrome|Severe neonatal-onset encephalopathy with microcephaly|Intellectual disability|Autism, susceptibility to, X-linked 3|Neurodevelopmental delay|Inborn genetic diseases|See cases|X-linked intellectual disability-psychosis-macroorchidism syndrome;Severe neonatal-onset encephalopathy with microcephaly;Autism, susceptibility to, X-linked 3;Rett syndrome;Syndromic X-linked intellectual disability Lubs type|MECP2-related disorder",300005
MECP2,X-linked intellectual disability-psychosis-macroorchidism syndrome|Severe neonatal-onset encephalopathy with microcephaly|not provided,300005
MECP2,Rett syndrome|not provided|Intellectual disability|Developmental regression;Global developmental delay|Severe neonatal-onset encephalopathy with microcephaly|Syndromic X-linked intellectual disability Lubs type|MECP2-related disorder|Inborn genetic diseases,300005
MECP2,"Rett syndrome|not provided|X-linked intellectual disability-psychosis-macroorchidism syndrome|X-linked intellectual disability-psychosis-macroorchidism syndrome;Severe neonatal-onset encephalopathy with microcephaly;Rett syndrome;Autism, susceptibility to, X-linked 3;Syndromic X-linked intellectual disability Lubs type|Severe neonatal-onset encephalopathy with microcephaly|Abnormality of the nervous system|Inborn genetic diseases|Neurodevelopmental delay|MECP2-related disorder|Syndromic X-linked intellectual disability Lubs type|Autism",300005
MECP2,Severe neonatal-onset encephalopathy with microcephaly|not specified|not provided|MECP2-related disorder|Inborn genetic diseases|Rett syndrome,300005
MECP2,Atypical Rett syndrome|Angelman syndrome|Rett syndrome|Inborn genetic diseases|Severe neonatal-onset encephalopathy with microcephaly|not provided,300005
MECP2,Rett syndrome|not provided,300005
MECP2,Syndromic X-linked intellectual disability Lubs type,300005
MECP2,X-linked intellectual disability-psychosis-macroorchidism syndrome|Rett syndrome|Severe neonatal-onset encephalopathy with microcephaly,300005
MECP2,Severe neonatal-onset encephalopathy with microcephaly,300005
MECP2,X-linked intellectual disability-psychosis-macroorchidism syndrome|Rett syndrome|not provided|Severe neonatal-onset encephalopathy with microcephaly,300005
MECP2,"Rett syndrome, zappella variant|X-linked intellectual disability-psychosis-macroorchidism syndrome|not provided|X-linked intellectual disability-psychosis-macroorchidism syndrome;Severe neonatal-onset encephalopathy with microcephaly;Rett syndrome;Autism, susceptibility to, X-linked 3;Syndromic X-linked intellectual disability Lubs type|Rett syndrome|Severe neonatal-onset encephalopathy with microcephaly|MECP2-related disorder",300005
MECP2,Rett syndrome|not provided|Severe neonatal-onset encephalopathy with microcephaly,300005
MECP2,Rett syndrome|not specified|Severe neonatal-onset encephalopathy with microcephaly|Inborn genetic diseases|not provided,300005
TSC2,Tuberous sclerosis 2|Tuberous sclerosis syndrome,191092
TSC2,Tuberous sclerosis 2|Tuberous sclerosis syndrome|Lymphangiomyomatosis|not provided|Tuberous sclerosis 2;Isolated focal cortical dysplasia type II;Lymphangiomyomatosis|Hereditary cancer-predisposing syndrome|TSC2-related disorder,191092
TSC2,Tuberous sclerosis 2|Tuberous sclerosis syndrome|Lymphangiomyomatosis|not provided|Tuberous sclerosis 2;Isolated focal cortical dysplasia type II;Lymphangiomyomatosis|Hereditary cancer-predisposing syndrome,191092
TSC2,Tuberous sclerosis 2|Lymphangiomyomatosis|Tuberous sclerosis syndrome|not provided|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2;Isolated focal cortical dysplasia type II;Lymphangiomyomatosis,191092
TSC2,Tuberous sclerosis 2|Tuberous sclerosis syndrome|not provided,191092
TSC2,Tuberous sclerosis syndrome|Lymphangiomyomatosis|not provided|Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis 2|Tuberous sclerosis syndrome|not provided|Hereditary cancer-predisposing syndrome|Isolated focal cortical dysplasia type II,191092
TSC2,Tuberous sclerosis 2|Lymphangiomyomatosis;Tuberous sclerosis syndrome|Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|not provided,191092
TSC2,Tuberous sclerosis 2|Tuberous sclerosis syndrome|not provided|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II|TSC2-related disorder,191092
TSC2,Tuberous sclerosis 2|Tuberous sclerosis syndrome|not provided|Isolated focal cortical dysplasia type II;Tuberous sclerosis 2;Lymphangiomyomatosis|Hereditary cancer-predisposing syndrome,191092
SCN2A,"Seizures, benign familial infantile, 3|Developmental and epileptic encephalopathy, 11;Seizures, benign familial infantile, 3|Complex neurodevelopmental disorder|not provided|Inborn genetic diseases",182390
SCN2A,"Seizures, benign familial infantile, 3|Developmental and epileptic encephalopathy, 11;Seizures, benign familial infantile, 3|Complex neurodevelopmental disorder",182390
SCN2A,"Seizures, benign familial infantile, 3|not provided|Complex neurodevelopmental disorder|Developmental and epileptic encephalopathy, 11;Seizures, benign familial infantile, 3",182390
SCN2A,"Seizures, benign familial infantile, 3|not provided|Developmental and epileptic encephalopathy, 11;Seizures, benign familial infantile, 3|Episodic ataxia, type 9;Developmental and epileptic encephalopathy, 11;Seizures, benign familial infantile, 3|Developmental and epileptic encephalopathy, 11",182390
SCN2A,"Seizures, benign familial infantile, 3|Developmental and epileptic encephalopathy, 11;Seizures, benign familial infantile, 3|Developmental and epileptic encephalopathy, 11|Benign familial infantile epilepsy|Seizure|Complex neurodevelopmental disorder",182390
SCN2A,"Seizures, benign familial infantile, 3|not provided|Developmental and epileptic encephalopathy, 11;Seizures, benign familial infantile, 3|Complex neurodevelopmental disorder|Developmental and epileptic encephalopathy|Developmental and epileptic encephalopathy, 11|Benign familial infantile epilepsy|benign sporadic infantile epilepsy",182390
SCN2A,"Seizures, benign familial infantile, 3|Seizures, benign familial infantile, 3;Developmental and epileptic encephalopathy, 11|Complex neurodevelopmental disorder",182390
SCN1A,"Generalized epilepsy with febrile seizures plus, type 2|Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Autosomal dominant epilepsy",182389
SCN1A,"Generalized epilepsy with febrile seizures plus, type 2|Generalized epilepsy with febrile seizures plus, type 1|Developmental and epileptic encephalopathy|not provided|Severe myoclonic epilepsy in infancy|Inborn genetic diseases|Seizure|SCN1A-related disorder",182389
SCN1A,"Generalized epilepsy with febrile seizures plus, type 2|Generalized epilepsy with febrile seizures plus, type 1|Developmental and epileptic encephalopathy",182389
SCN1A,"Generalized epilepsy with febrile seizures plus, type 2|Generalized epilepsy with febrile seizures plus, type 1|Severe myoclonic epilepsy in infancy",182389
SCN1A,"Generalized epilepsy with febrile seizures plus, type 2|Generalized epilepsy with febrile seizures plus, type 1|Developmental and epileptic encephalopathy|Severe myoclonic epilepsy in infancy",182389
SCN1A,"Generalized epilepsy with febrile seizures plus, type 2|Generalized epilepsy with febrile seizures plus, type 1|not provided",182389
SCN1A,Severe myoclonic epilepsy in infancy,182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|Generalized epilepsy with febrile seizures plus, type 2;Migraine, familial hemiplegic, 3;Severe myoclonic epilepsy in infancy|Developmental and epileptic encephalopathy|Intellectual disability|Inborn genetic diseases|Generalized epilepsy with febrile seizures plus, type 2|Developmental and epileptic encephalopathy 6B;Generalized epilepsy with febrile seizures plus, type 2;Severe myoclonic epilepsy in infancy;Febrile seizures, familial, 3a",182389
SCN1A,Severe myoclonic epilepsy in infancy|Developmental and epileptic encephalopathy,182389
SCN1A,"Generalized epilepsy with febrile seizures plus, type 2|Generalized epilepsy with febrile seizures plus, type 1|Developmental and epileptic encephalopathy|Inborn genetic diseases",182389
SCN1A,"Generalized epilepsy with febrile seizures plus, type 2|Generalized epilepsy with febrile seizures plus, type 1",182389
SCN1A,"Migraine, familial hemiplegic, 3|Severe myoclonic epilepsy in infancy",182389
SCN1A,"Severe myoclonic epilepsy in infancy|Generalized epilepsy with febrile seizures plus, type 2|Developmental and epileptic encephalopathy",182389
SCN1A,"Severe myoclonic epilepsy in infancy|Generalized epilepsy with febrile seizures plus, type 2",182389
SCN1A,"Generalized epilepsy with febrile seizures plus, type 2|not provided|Febrile seizures, familial, 3a|Generalized epilepsy with febrile seizures plus, type 2;Developmental and epileptic encephalopathy 6B;Severe myoclonic epilepsy in infancy;Migraine, familial hemiplegic, 3|Severe myoclonic epilepsy in infancy",182389
SCN1A,"Febrile seizures, familial, 3a|carbamazepine response - Dosage|Developmental and epileptic encephalopathy",182389
SCN1A,"Generalized epilepsy with febrile seizures plus, type 2",182389
SCN1A,"Migraine, familial hemiplegic, 3|not provided|Developmental and epileptic encephalopathy|Severe myoclonic epilepsy in infancy",182389
SCN1A,"Migraine, familial hemiplegic, 3",182389
FOXG1,"Rett syndrome, congenital variant|FOXG1 disorder",164874
FOXG1,"Rett syndrome, congenital variant|FOXG1 disorder|not provided|Inborn genetic diseases",164874
FOXG1,"Rett syndrome, congenital variant|FOXG1 disorder|not provided",164874
SLC2A1,Encephalopathy due to GLUT1 deficiency,138140
SLC2A1,"not specified|GLUT1 deficiency syndrome 1, autosomal recessive|Encephalopathy due to GLUT1 deficiency|Hereditary cryohydrocytosis with reduced stomatin|Childhood onset GLUT1 deficiency syndrome 2|Dystonia 9|Epilepsy, idiopathic generalized, susceptibility to, 12",138140
SLC2A1,"GLUT1 deficiency syndrome 1, autosomal recessive|Encephalopathy due to GLUT1 deficiency",138140
SLC2A1,"Encephalopathy due to GLUT1 deficiency|not provided|GLUT1 deficiency syndrome 1, autosomal recessive|Childhood onset GLUT1 deficiency syndrome 2",138140
SLC2A1,"Childhood onset GLUT1 deficiency syndrome 2|not provided|GLUT1 deficiency syndrome 1, autosomal recessive|Encephalopathy due to GLUT1 deficiency",138140
SLC2A1,"Childhood onset GLUT1 deficiency syndrome 2|not provided|GLUT1 deficiency syndrome 1, autosomal recessive|Encephalopathy due to GLUT1 deficiency|Dystonia 9|Seizure",138140
SLC2A1,"not provided|Childhood onset GLUT1 deficiency syndrome 2|GLUT1 deficiency syndrome 1, autosomal recessive|Encephalopathy due to GLUT1 deficiency",138140
SLC2A1,Childhood onset GLUT1 deficiency syndrome 2,138140
SLC2A1,"Childhood onset GLUT1 deficiency syndrome 2|not provided|GLUT1 deficiency syndrome 1, autosomal recessive|Encephalopathy due to GLUT1 deficiency|Seizure|SLC2A1-related disorder",138140
SLC2A1,"Encephalopathy due to GLUT1 deficiency|Childhood onset GLUT1 deficiency syndrome 2|Dystonia 9|not provided|GLUT1 deficiency syndrome 1, autosomal recessive|Hereditary cryohydrocytosis with reduced stomatin|SLC2A1-related disorder|Chromosome 17q23.1-q23.2 deletion syndrome|Inborn genetic diseases",138140
SLC2A1,"Childhood onset GLUT1 deficiency syndrome 2|GLUT1 deficiency syndrome 1, autosomal recessive|not provided|Intellectual disability|Encephalopathy due to GLUT1 deficiency|Developmental disorder|Encephalopathy due to GLUT1 deficiency;Childhood onset GLUT1 deficiency syndrome 2",138140
SLC2A1,"GLUT1 deficiency syndrome 1, autosomal recessive|not provided|SLC2A1-related disorder|Encephalopathy due to GLUT1 deficiency",138140
GABRG2,"Febrile seizures, familial, 8",137164
GABRG2,"not provided|EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 2|Febrile seizures, familial, 8|EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 2;Febrile seizures, familial, 8",137164
GABRG2,"EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 2|Febrile seizures, familial, 8",137164
GABRA1,"Epilepsy, idiopathic generalized, susceptibility to, 13",137160
GABRA1,"Epilepsy, childhood absence 4",137160
ALDH7A1,Pyridoxine-dependent epilepsy|not provided|Seizure|Pyridoxine-dependent epilepsy caused by ALDH7A1 mutant,107323
ALDH7A1,Pyridoxine-dependent epilepsy|Seizure;Ventriculomegaly|not provided|Inborn genetic diseases|See cases,107323
ALDH7A1,Pyridoxine-dependent epilepsy|See cases|Cervical cancer,107323
ALDH7A1,Pyridoxine-dependent epilepsy,107323
ALDH7A1,Pyridoxine-dependent epilepsy|not provided|Abnormality of the nervous system,107323
ALDH7A1,not provided|Pyridoxine-dependent epilepsy,107323
ALDH7A1,Pyridoxine-dependent epilepsy|not provided,107323
ALDH7A1,Pyridoxine-dependent epilepsy|not provided|Inborn genetic diseases|ALDH7A1-related disorder|Seizure,107323
CDKL5,"Developmental and epileptic encephalopathy, 2|Angelman syndrome-like;Developmental and epileptic encephalopathy, 2|CDKL5 disorder",300203
SCN9A,"Primary erythromelalgia|not specified|Neuropathy, hereditary sensory and autonomic, type 2A;Generalized epilepsy with febrile seizures plus, type 7|not provided|Inherited Erythromelalgia|Channelopathy-associated congenital insensitivity to pain, autosomal recessive|Paroxysmal extreme pain disorder",603415
SCN9A,"Primary erythromelalgia|not provided|Generalized epilepsy with febrile seizures plus, type 7;Neuropathy, hereditary sensory and autonomic, type 2A",603415
SCN9A,"Primary erythromelalgia|Generalized epilepsy with febrile seizures plus, type 7;Neuropathy, hereditary sensory and autonomic, type 2A|Inborn genetic diseases",603415
KCNQ3,"not specified|Seizures, benign familial neonatal, 2|not provided|Benign neonatal seizures|Benign Neonatal Epilepsy|Inborn genetic diseases",602232
KCNQ3,"not provided|Benign neonatal seizures|Seizures, benign familial neonatal, 2|Inborn genetic diseases",602232
KCNQ3,"Benign neonatal seizures|not specified|Benign Neonatal Epilepsy|Seizures, benign familial neonatal, 2|Intellectual disability|not provided|Inborn genetic diseases|KCNQ3-related disorder",602232
KCNQ3,"not provided|Benign Neonatal Epilepsy|Benign neonatal seizures|Seizures, benign familial neonatal, 2|Inborn genetic diseases",602232
KCNQ3,"Benign neonatal seizures|not specified|Seizures, benign familial neonatal, 2",602232
KCNQ3,"Seizures, benign familial neonatal, 2|Benign neonatal seizures|not provided",602232
KCNQ2,"Seizure|Seizures, benign familial neonatal, 1",602235
KCNQ2,"Seizures, benign familial neonatal, 1|Developmental and epileptic encephalopathy",602235
KCNQ2,"Seizures, benign familial neonatal, 1",602235
KCNQ2,"Seizures, benign familial neonatal, 1|Developmental and epileptic encephalopathy, 7|Developmental and epileptic encephalopathy",602235
KCNQ2,"Seizures, benign familial neonatal, 1|not provided|Developmental and epileptic encephalopathy|Seizure|Inborn genetic diseases|Developmental and epileptic encephalopathy, 7",602235
KCNQ2,"Seizures, benign familial neonatal, 1|not specified|Developmental and epileptic encephalopathy|Inborn genetic diseases|not provided|Complex neurodevelopmental disorder",602235
KCNQ2,"not provided|Seizures, benign familial neonatal, 1|Developmental and epileptic encephalopathy|Developmental and epileptic encephalopathy, 7",602235
KCNQ2,"Developmental and epileptic encephalopathy|not provided|Seizures, benign familial neonatal, 1|KCNQ2-related disorder|Seizure",602235
KCNQ2,"Seizures, benign familial neonatal, 1|not provided|Epileptic encephalopathy|Developmental and epileptic encephalopathy|Inborn genetic diseases|Complex neurodevelopmental disorder",602235
KCNQ2,"not provided|Developmental and epileptic encephalopathy|Seizures, benign familial neonatal, 1",602235
KCNQ2,"not provided|Seizures, benign familial neonatal, 1|Developmental and epileptic encephalopathy",602235
KCNQ2,"Seizures, benign familial neonatal, 1|not specified|Developmental and epileptic encephalopathy|not provided|Inborn genetic diseases|Developmental and epileptic encephalopathy, 7|Complex neurodevelopmental disorder",602235
KCNQ2,"Seizures, benign familial neonatal, 1|Developmental and epileptic encephalopathy|not provided",602235
KCNQ2,"not provided|Seizures, benign familial neonatal, 1|Developmental and epileptic encephalopathy, 7",602235
KCNQ2,Benign neonatal seizures|Developmental and epileptic encephalopathy,602235
KCNQ2,"not provided|Seizures, benign familial neonatal, 1|Developmental and epileptic encephalopathy|Seizures, benign familial neonatal, 1;Developmental and epileptic encephalopathy, 7|KCNQ2-related disorder|Developmental and epileptic encephalopathy, 7",602235
KCNQ2,"Developmental and epileptic encephalopathy, 1|Seizures, benign familial neonatal, 1",602235
KCNQ2,"Developmental and epileptic encephalopathy, 7|not provided|Seizures, benign familial neonatal, 1|Developmental and epileptic encephalopathy|KCNQ2-related disorder|Complex neurodevelopmental disorder",602235
KCNQ2,"Seizures, benign familial neonatal, 1|Developmental and epileptic encephalopathy|Complex neurodevelopmental disorder",602235
KCNQ2,"not provided|Developmental and epileptic encephalopathy, 7|Developmental and epileptic encephalopathy|Seizures, benign familial neonatal, 1|Inborn genetic diseases",602235
